Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person	Syllabicity	Word_class	Genre
DKS	Limol	F	62+	Dd?liag	Wedag	N	124	gogon	auxiliary	0	##	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	125	gogon	auxiliary	n	#	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	126	gogon	auxiliary	0	##	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	133	dan	copula	0	C	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	138	dan	copula	n	V	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	144	dan	copula	0	V	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	153	allan	auxiliary	n	V	prs	1			
DKS	Limol	F	62+	Dd?liag	Wedag	N	157	allan	auxiliary	0	##	prs	1			
DKS	Limol	F	62+	Dd?liag	Wedag	N	158	allan	auxiliary	0	##	prs	1			
DKS	Limol	F	62+	Dd?liag	Wedag	N	159	dan	copula	0	##	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	177	gogon	auxiliary	n	#	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	190	gogon	auxiliary	0	C	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	192	gogon	auxiliary	0	##	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	204	gogon	auxiliary	n	##	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	209	gogon	auxiliary	n	#	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	221	dan	copula	0	##	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	225	dan	copula	0	##	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	229	allan	auxiliary	n	#	prs	1			
DKS	Limol	F	62+	Dd?liag	Wedag	N	230	dan	copula	0	##	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	231	gogon	auxiliary	n	#	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	232	gogon	auxiliary	0	##	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	233	gogon	auxiliary	0	##	rem	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	238	dan	copula	0	C	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	240	dan	copula	0	C	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	241	dan	copula	0	##	prs	2			
